URL,campaign,ad_format,clicks,spend,creative_size,date,impressions,reach,audience,platform,creative_family,creative_version,full_video_views,video_starts,follows,days_from_max,latest_report,CTR,CTR_score,weighted_CTR_score,n
NA,NB_Wholesale_Phrase,CPC,0,0,mortgage loan broker license,2022-10-09,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,22,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lenders,2022-07-17,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,106,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-10-30,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,1,1,NA,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage rates,2022-08-03,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,89,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage rates,2022-04-27,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,187,0,NA,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,mortgage loan broker license,2022-07-30,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,93,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage wholesale companies,2022-10-04,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,27,0,NA,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,mortgage loan broker license,2022-06-18,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,135,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-08-11,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,81,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,mortgage loan broker license,2022-10-24,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,7,1,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,CDFI,2022-07-12,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,111,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,prime mortgage,2022-08-12,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,80,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lenders,2022-09-17,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,44,0,NA,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lenders,2022-07-02,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,121,0,NA,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lending,2022-06-19,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,134,0,NA,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lending,2022-06-07,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,146,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale loans,2022-06-22,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,131,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lending,2022-09-11,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,50,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lending services,2022-08-30,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,62,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage company,2022-09-20,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,41,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-07-22,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,101,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale lenders,2022-08-27,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,65,0,NA,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage company,2022-10-27,2,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,4,1,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,wholesale mortgage rates,2022-04-25,0,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,189,0,NA,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,CDFI,2022-09-11,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,50,0,0,NA,NA,2
NA,NB_Wholesale_Exact,CPC,0,0,mortgage loan broker license,2022-04-15,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,199,0,0,NA,NA,2
NA,NB_Wholesale_Phrase,CPC,0,0,wholesale lending services,2022-07-12,1,NA,6,Google SEM,SEM Ads,Change Wholesale,NA,NA,NA,111,0,0,NA,NA,2
