...1,date,audience,creative_family,creative_version,platform,ad_format,campaign_traffic,total_sessions,total_bounces,total_duration,days_away,latest_report
8588,2022-09-26,1,UnfairAdvantage,one_page,User ID Display,NA,Campaign,10,0,0,35,0
8589,2022-06-01,5,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,7,0,5,152,0
8590,2022-04-27,3,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,2,0,0,187,0
8591,2022-04-22,2,CloserTwins,Cutdown1A,LinkedIn,Video,Campaign,1,0,32,192,0
8592,2022-05-10,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,3,0,0,174,0
8593,2022-07-22,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,3,0,0,101,0
8594,2022-06-01,4,UnfairAdvantage,one_page,Domain Display,NA,Campaign,3,0,11,152,0
8595,2022-09-18,5,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,1,0,0,43,0
8596,2022-08-04,3,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0,88,0
8597,2022-06-16,3,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,1,0,0,137,0
8598,2022-08-17,3,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,3,0,0,75,0
8599,2022-09-10,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,4,0,30,51,0
8600,2022-08-23,4,CloseFaster,MoreAll,Domain Display,NA,Campaign,3,0,0,69,0
8601,2022-10-19,5,UnfairAdvantage,one_page,LinkedIn,Single image,Campaign,7,0,2,12,1
8602,2022-06-16,6,Trade Media Ads,300x250,Trade Media,National_mortgage_news,Campaign,1,0,0,137,0
8603,2022-09-26,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,26,0,0,35,0
8604,2022-09-10,1,CloserTwins,Faceoff,Domain Display,NA,Campaign,2,0,0,51,0
8605,2022-04-12,6,CompetitiveOpportunity,Theycancelweclose,LinkedIn,Single image,Campaign,3,0,115,202,0
8606,2022-06-01,3,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,1,0,2,152,0
8607,2022-05-01,5,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,4,0,40,183,0
8608,2022-06-11,4,CloseFaster,MoreAll,Domain Display,NA,Campaign,1,0,0,142,0
8609,2022-06-22,6,SEM Ads,Close More. Close Faster.,Google SEM,CPC,Campaign,4,0,1156,131,0
8610,2022-05-15,5,CloserTwins,Cutdown1A,LinkedIn,Video,Campaign,1,0,0,169,0
8611,2022-06-13,1,CloserTwins,CloseMore,Domain Display,NA,Campaign,1,0,0,140,0
8613,2022-10-24,5,CloseFaster,MoreAll,Domain Display,NA,Campaign,22,0,1004.99999999999,7,1
8614,2022-06-11,1,CloserTwins,Cutdown1B,Facebook,Video,Campaign,3,0,0.999999999999998,142,0
8615,2022-07-02,5,CloseFaster,3steps,LinkedIn,Single image,Campaign,2,0,0,121,0
8616,2022-10-02,4,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0,29,0
