...1,date,campaign,audience,creative_family,creative_version,platform,ad_format,goal,completions,campaign_traffic,days_away,latest_report
0,2022-04-01,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic,213,0
1,2022-04-01,(not set),NA,NA,NA,NA,NA,Form Submission,2,General traffic,213,0
2,2022-04-01,(not set),NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic,213,0
3,2022-04-01,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,213,0
4,2022-04-01,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),18,General traffic,213,0
5,2022-04-01,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,213,0
6,2022-04-01,(not set),NA,NA,NA,NA,NA,Start Closing More,5,General traffic,213,0
7,2022-04-02,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic,212,0
8,2022-04-02,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic,212,0
9,2022-04-03,(not set),NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic,211,0
10,2022-04-04,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,210,0
11,2022-04-04,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,210,0
12,2022-04-04,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),14,General traffic,210,0
13,2022-04-04,(not set),NA,NA,NA,NA,NA,Start Closing More,4,General traffic,210,0
14,2022-04-05,(not set),NA,NA,NA,NA,NA,Form Submission,5,General traffic,209,0
15,2022-04-05,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,209,0
16,2022-04-05,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),17,General traffic,209,0
17,2022-04-05,(not set),NA,NA,NA,NA,NA,Start Closing More,7,General traffic,209,0
18,2022-04-06,(not set),NA,NA,NA,NA,NA,Form Submission,3,General traffic,208,0
19,2022-04-06,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,208,0
20,2022-04-06,(not set),NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic,208,0
21,2022-04-06,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),3,General traffic,208,0
22,2022-04-06,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),10,General traffic,208,0
23,2022-04-06,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,208,0
24,2022-04-06,(not set),NA,NA,NA,NA,NA,Start Closing More,1,General traffic,208,0
25,2022-04-07,(not set),NA,NA,NA,NA,NA,Form Submission,3,General traffic,207,0
26,2022-04-07,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,207,0
27,2022-04-07,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,207,0
28,2022-04-07,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),16,General traffic,207,0
29,2022-04-07,(not set),NA,NA,NA,NA,NA,Start Closing More,2,General traffic,207,0
30,2022-04-08,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,206,0
31,2022-04-08,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,206,0
32,2022-04-08,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),12,General traffic,206,0
33,2022-04-08,(not set),NA,NA,NA,NA,NA,Start Closing More,6,General traffic,206,0
34,2022-04-09,(not set),NA,NA,NA,NA,NA,Form Submission,2,General traffic,205,0
35,2022-04-09,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,205,0
36,2022-04-09,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),4,General traffic,205,0
37,2022-04-10,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,204,0
38,2022-04-10,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic,204,0
39,2022-04-10,(not set),NA,NA,NA,NA,NA,Start Closing More,1,General traffic,204,0
40,2022-04-11,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,203,0
41,2022-04-11,(not set),NA,NA,NA,NA,NA,Get Approved,3,General traffic,203,0
42,2022-04-11,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic,203,0
43,2022-04-11,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),14,General traffic,203,0
44,2022-04-11,(not set),NA,NA,NA,NA,NA,Start Closing More,3,General traffic,203,0
45,2022-04-12,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,202,0
46,2022-04-12,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),13,General traffic,202,0
47,2022-04-12,(not set),NA,NA,NA,NA,NA,Start Closing More,6,General traffic,202,0
48,2022-04-13,(not set),NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic,201,0
49,2022-04-13,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),12,General traffic,201,0
50,2022-04-13,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),2,General traffic,201,0
51,2022-04-13,(not set),NA,NA,NA,NA,NA,Start Closing More,3,General traffic,201,0
52,2022-04-14,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,200,0
53,2022-04-14,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,200,0
54,2022-04-14,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),10,General traffic,200,0
55,2022-04-14,(not set),NA,NA,NA,NA,NA,Start Closing More,6,General traffic,200,0
56,2022-04-15,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,199,0
57,2022-04-15,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),13,General traffic,199,0
58,2022-04-15,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,199,0
59,2022-04-16,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic,198,0
60,2022-04-17,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,197,0
61,2022-04-18,(not set),NA,NA,NA,NA,NA,Form Submission,2,General traffic,196,0
62,2022-04-18,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,196,0
63,2022-04-18,(not set),NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic,196,0
64,2022-04-18,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,196,0
65,2022-04-18,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),11,General traffic,196,0
66,2022-04-18,(not set),NA,NA,NA,NA,NA,Start Closing More,2,General traffic,196,0
67,2022-04-19,(not set),NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic,195,0
68,2022-04-19,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),3,General traffic,195,0
69,2022-04-19,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),14,General traffic,195,0
70,2022-04-19,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,195,0
71,2022-04-19,(not set),NA,NA,NA,NA,NA,Start Closing More,4,General traffic,195,0
72,2022-04-20,(not set),NA,NA,NA,NA,NA,Form Submission,3,General traffic,194,0
73,2022-04-20,(not set),NA,NA,NA,NA,NA,Get Approved,2,General traffic,194,0
74,2022-04-20,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic,194,0
75,2022-04-20,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),16,General traffic,194,0
76,2022-04-20,(not set),NA,NA,NA,NA,NA,Start Closing More,8,General traffic,194,0
77,2022-04-21,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,193,0
78,2022-04-21,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,193,0
79,2022-04-21,(not set),NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic,193,0
80,2022-04-21,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,193,0
81,2022-04-21,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),25,General traffic,193,0
82,2022-04-21,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),2,General traffic,193,0
83,2022-04-21,(not set),NA,NA,NA,NA,NA,Start Closing More,2,General traffic,193,0
84,2022-04-22,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,192,0
85,2022-04-22,(not set),NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic,192,0
86,2022-04-22,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic,192,0
87,2022-04-22,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),19,General traffic,192,0
88,2022-04-22,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),2,General traffic,192,0
89,2022-04-22,(not set),NA,NA,NA,NA,NA,Start Closing More,3,General traffic,192,0
90,2022-04-23,(not set),NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic,191,0
91,2022-04-23,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic,191,0
92,2022-04-23,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,191,0
93,2022-04-24,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,190,0
94,2022-04-24,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,190,0
95,2022-04-24,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic,190,0
96,2022-04-24,(not set),NA,NA,NA,NA,NA,Start Closing More,1,General traffic,190,0
97,2022-04-25,(not set),NA,NA,NA,NA,NA,Form Submission,2,General traffic,189,0
98,2022-04-25,(not set),NA,NA,NA,NA,NA,Get Approved,3,General traffic,189,0
99,2022-04-25,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,189,0
100,2022-04-25,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),20,General traffic,189,0
101,2022-04-25,(not set),NA,NA,NA,NA,NA,Start Closing More,4,General traffic,189,0
102,2022-04-26,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,188,0
103,2022-04-26,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic,188,0
104,2022-04-26,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),23,General traffic,188,0
105,2022-04-26,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),2,General traffic,188,0
106,2022-04-26,(not set),NA,NA,NA,NA,NA,Start Closing More,3,General traffic,188,0
107,2022-04-27,(not set),NA,NA,NA,NA,NA,Form Submission,5,General traffic,187,0
108,2022-04-27,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic,187,0
109,2022-04-27,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),17,General traffic,187,0
110,2022-04-27,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,187,0
111,2022-04-27,(not set),NA,NA,NA,NA,NA,Start Closing More,6,General traffic,187,0
112,2022-04-28,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,186,0
113,2022-04-28,(not set),NA,NA,NA,NA,NA,Get Approved,4,General traffic,186,0
114,2022-04-28,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,186,0
115,2022-04-28,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),22,General traffic,186,0
116,2022-04-28,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,186,0
117,2022-04-28,(not set),NA,NA,NA,NA,NA,Start Closing More,2,General traffic,186,0
118,2022-04-29,(not set),NA,NA,NA,NA,NA,Form Submission,3,General traffic,185,0
119,2022-04-29,(not set),NA,NA,NA,NA,NA,Get Approved,2,General traffic,185,0
120,2022-04-29,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),19,General traffic,185,0
121,2022-04-29,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,185,0
122,2022-04-29,(not set),NA,NA,NA,NA,NA,Start Closing More,4,General traffic,185,0
123,2022-04-30,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,184,0
124,2022-04-30,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic,184,0
125,2022-05-01,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,183,0
126,2022-05-01,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),4,General traffic,183,0
127,2022-05-02,(not set),NA,NA,NA,NA,NA,Form Submission,3,General traffic,182,0
128,2022-05-02,(not set),NA,NA,NA,NA,NA,Get Approved,2,General traffic,182,0
129,2022-05-02,(not set),NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic,182,0
130,2022-05-02,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),24,General traffic,182,0
131,2022-05-02,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,182,0
132,2022-05-02,(not set),NA,NA,NA,NA,NA,Start Closing More,5,General traffic,182,0
133,2022-05-03,(not set),NA,NA,NA,NA,NA,Form Submission,1,General traffic,181,0
134,2022-05-03,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,181,0
135,2022-05-03,(not set),NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic,181,0
136,2022-05-03,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),3,General traffic,181,0
137,2022-05-03,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),25,General traffic,181,0
138,2022-05-03,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,181,0
139,2022-05-03,(not set),NA,NA,NA,NA,NA,Start Closing More,8,General traffic,181,0
140,2022-05-04,(not set),NA,NA,NA,NA,NA,Form Submission,2,General traffic,180,0
141,2022-05-04,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic,180,0
142,2022-05-04,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),19,General traffic,180,0
143,2022-05-04,(not set),NA,NA,NA,NA,NA,Start Closing More,4,General traffic,180,0
144,2022-05-05,(not set),NA,NA,NA,NA,NA,Form Submission,2,General traffic,179,0
145,2022-05-05,(not set),NA,NA,NA,NA,NA,Get Approved,2,General traffic,179,0
146,2022-05-05,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic,179,0
147,2022-05-05,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),23,General traffic,179,0
148,2022-05-05,(not set),NA,NA,NA,NA,NA,Start Closing More,4,General traffic,179,0
149,2022-05-06,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),20,General traffic,178,0
150,2022-05-06,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,178,0
151,2022-05-06,(not set),NA,NA,NA,NA,NA,Start Closing More,5,General traffic,178,0
152,2022-05-07,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic,177,0
153,2022-05-08,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,176,0
154,2022-05-08,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,176,0
155,2022-05-08,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,176,0
156,2022-05-09,(not set),NA,NA,NA,NA,NA,Get Approved,2,General traffic,175,0
157,2022-05-09,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,175,0
158,2022-05-09,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),28,General traffic,175,0
159,2022-05-09,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,175,0
160,2022-05-09,(not set),NA,NA,NA,NA,NA,Start Closing More,4,General traffic,175,0
161,2022-05-10,(not set),NA,NA,NA,NA,NA,Get Approved,2,General traffic,174,0
162,2022-05-10,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,174,0
163,2022-05-10,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),25,General traffic,174,0
164,2022-05-10,(not set),NA,NA,NA,NA,NA,Start Closing More,5,General traffic,174,0
165,2022-05-11,(not set),NA,NA,NA,NA,NA,Get Approved,2,General traffic,173,0
166,2022-05-11,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),3,General traffic,173,0
167,2022-05-11,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),24,General traffic,173,0
168,2022-05-11,(not set),NA,NA,NA,NA,NA,Start Closing More,1,General traffic,173,0
169,2022-05-12,(not set),NA,NA,NA,NA,NA,Get Approved,3,General traffic,172,0
170,2022-05-12,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,172,0
171,2022-05-12,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),26,General traffic,172,0
172,2022-05-12,(not set),NA,NA,NA,NA,NA,Start Closing More,2,General traffic,172,0
173,2022-05-13,(not set),NA,NA,NA,NA,NA,Get Approved,2,General traffic,171,0
174,2022-05-13,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),13,General traffic,171,0
175,2022-05-13,(not set),NA,NA,NA,NA,NA,Start Closing More,8,General traffic,171,0
176,2022-05-14,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic,170,0
177,2022-05-14,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,170,0
178,2022-05-14,(not set),NA,NA,NA,NA,NA,Start Closing More,1,General traffic,170,0
179,2022-05-15,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,169,0
180,2022-05-15,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,169,0
181,2022-05-15,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),4,General traffic,169,0
182,2022-05-16,(not set),NA,NA,NA,NA,NA,Get Approved,2,General traffic,168,0
183,2022-05-16,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),3,General traffic,168,0
184,2022-05-16,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),17,General traffic,168,0
185,2022-05-16,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,168,0
186,2022-05-16,(not set),NA,NA,NA,NA,NA,Start Closing More,4,General traffic,168,0
187,2022-05-17,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,167,0
188,2022-05-17,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,167,0
189,2022-05-17,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),27,General traffic,167,0
190,2022-05-17,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,167,0
191,2022-05-17,(not set),NA,NA,NA,NA,NA,Start Closing More,9,General traffic,167,0
192,2022-05-18,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),3,General traffic,166,0
193,2022-05-18,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),20,General traffic,166,0
194,2022-05-18,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,166,0
195,2022-05-18,(not set),NA,NA,NA,NA,NA,Start Closing More,6,General traffic,166,0
196,2022-05-19,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,165,0
197,2022-05-19,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),23,General traffic,165,0
198,2022-05-19,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,165,0
199,2022-05-19,(not set),NA,NA,NA,NA,NA,Start Closing More,4,General traffic,165,0
200,2022-05-20,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,164,0
201,2022-05-20,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),29,General traffic,164,0
202,2022-05-20,(not set),NA,NA,NA,NA,NA,Start Closing More,5,General traffic,164,0
203,2022-05-21,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,163,0
204,2022-05-22,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic,162,0
205,2022-05-23,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,161,0
206,2022-05-23,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),24,General traffic,161,0
207,2022-05-23,(not set),NA,NA,NA,NA,NA,Start Closing More,7,General traffic,161,0
208,2022-05-24,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,160,0
209,2022-05-24,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic,160,0
210,2022-05-24,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),26,General traffic,160,0
211,2022-05-24,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,160,0
212,2022-05-24,(not set),NA,NA,NA,NA,NA,Start Closing More,3,General traffic,160,0
213,2022-05-25,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,159,0
214,2022-05-25,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),3,General traffic,159,0
215,2022-05-25,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),17,General traffic,159,0
216,2022-05-25,(not set),NA,NA,NA,NA,NA,Start Closing More,8,General traffic,159,0
217,2022-05-26,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,158,0
218,2022-05-26,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),18,General traffic,158,0
219,2022-05-26,(not set),NA,NA,NA,NA,NA,Start Closing More,7,General traffic,158,0
220,2022-05-27,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),8,General traffic,157,0
221,2022-05-27,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,157,0
222,2022-05-27,(not set),NA,NA,NA,NA,NA,Start Closing More,1,General traffic,157,0
223,2022-05-28,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,156,0
224,2022-05-28,(not set),NA,NA,NA,NA,NA,Start Closing More,1,General traffic,156,0
225,2022-05-29,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic,155,0
226,2022-05-30,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic,154,0
227,2022-05-31,(not set),NA,NA,NA,NA,NA,Get Approved,3,General traffic,153,0
228,2022-05-31,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),5,General traffic,153,0
229,2022-05-31,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),25,General traffic,153,0
230,2022-05-31,(not set),NA,NA,NA,NA,NA,Start Closing More,6,General traffic,153,0
231,2022-06-01,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,152,0
232,2022-06-01,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,152,0
233,2022-06-01,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),37,General traffic,152,0
234,2022-06-01,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),2,General traffic,152,0
235,2022-06-01,(not set),NA,NA,NA,NA,NA,Start Closing More,6,General traffic,152,0
236,2022-06-02,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,151,0
237,2022-06-02,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),3,General traffic,151,0
238,2022-06-02,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),23,General traffic,151,0
239,2022-06-02,(not set),NA,NA,NA,NA,NA,Start Closing More,5,General traffic,151,0
240,2022-06-03,(not set),NA,NA,NA,NA,NA,Get Approved,3,General traffic,150,0
241,2022-06-03,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),4,General traffic,150,0
242,2022-06-03,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),21,General traffic,150,0
243,2022-06-03,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),2,General traffic,150,0
244,2022-06-03,(not set),NA,NA,NA,NA,NA,Start Closing More,5,General traffic,150,0
245,2022-06-04,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic,149,0
246,2022-06-04,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic,149,0
247,2022-06-05,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic,148,0
248,2022-06-06,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,147,0
249,2022-06-06,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),24,General traffic,147,0
250,2022-06-06,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),2,General traffic,147,0
251,2022-06-06,(not set),NA,NA,NA,NA,NA,Start Closing More,4,General traffic,147,0
252,2022-06-07,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,146,0
253,2022-06-07,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),22,General traffic,146,0
254,2022-06-07,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,146,0
255,2022-06-08,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic,145,0
256,2022-06-08,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),30,General traffic,145,0
257,2022-06-08,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,145,0
258,2022-06-08,(not set),NA,NA,NA,NA,NA,Start Closing More,1,General traffic,145,0
259,2022-06-09,(not set),NA,NA,NA,NA,NA,Get Approved,2,General traffic,144,0
260,2022-06-09,(not set),NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic,144,0
261,2022-06-09,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),36,General traffic,144,0
262,2022-06-09,(not set),NA,NA,NA,NA,NA,Start Closing More,2,General traffic,144,0
263,2022-06-10,(not set),NA,NA,NA,NA,NA,Get Approved,2,General traffic,143,0
264,2022-06-10,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),13,General traffic,143,0
265,2022-06-10,(not set),NA,NA,NA,NA,NA,Start Closing More,1,General traffic,143,0
266,2022-06-11,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),4,General traffic,142,0
267,2022-06-12,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic,141,0
268,2022-06-13,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,140,0
269,2022-06-13,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),23,General traffic,140,0
270,2022-06-13,(not set),NA,NA,NA,NA,NA,Start Closing More,3,General traffic,140,0
271,2022-04-13,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic,201,0
272,2022-04-01,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic,213,0
273,2022-04-03,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic,211,0
274,2022-04-04,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic,210,0
275,2022-04-08,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic,206,0
276,2022-04-12,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic,202,0
277,2022-04-13,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic,201,0
278,2022-04-20,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic,194,0
279,2022-04-21,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,193,0
280,2022-04-23,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,191,0
281,2022-04-25,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic,189,0
282,2022-04-29,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic,185,0
283,2022-05-09,(not set),NA,NA,NA,NA,NA,Start Closing More,1,General traffic,175,0
