...1,date,campaign,audience,creative_family,creative_version,platform,ad_format,goal,completions,campaign_traffic,days_away,latest_report
2517,2022-04-01,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),15,General traffic,213,0
2518,2022-04-02,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic,212,0
2519,2022-04-03,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,211,0
2520,2022-04-03,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),4,General traffic,211,0
2521,2022-04-04,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),13,General traffic,210,0
2522,2022-04-05,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),17,General traffic,209,0
2523,2022-04-05,(not set),NA,NA,NA,NA,NA,Start Closing More,2,General traffic,209,0
2524,2022-04-06,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),11,General traffic,208,0
2525,2022-04-06,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,208,0
2526,2022-04-07,(not set),NA,NA,NA,NA,NA,Get Approved,1,General traffic,207,0
2527,2022-04-07,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),20,General traffic,207,0
2528,2022-04-07,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,207,0
2529,2022-04-08,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),12,General traffic,206,0
2530,2022-04-09,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),8,General traffic,205,0
2531,2022-04-09,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,205,0
2532,2022-04-10,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),5,General traffic,204,0
2533,2022-04-11,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic,203,0
2534,2022-04-11,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),20,General traffic,203,0
2535,2022-04-11,(not set),NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic,203,0
2536,2022-04-11,(not set),NA,NA,NA,NA,NA,Start Closing More,1,General traffic,203,0
2537,2022-04-12,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),1,General traffic,202,0
2538,2022-04-12,(not set),NA,NA,NA,NA,NA,Learn More (Community Mortgage),8,General traffic,202,0
2539,2022-04-12,(not set),NA,NA,NA,NA,NA,Start Closing More,2,General traffic,202,0
