,city_name,latitude,longitude,city_population,city_state_code,state_name
1687,Romulus,42.22226,-83.3966,23417,MI,Michigan
2089,Ronkonkoma,40.81538,-73.11233,19082,NY,New York
2090,Roosevelt,40.67871,-73.58902,16258,NY,New York
2710,Rosamond,34.86414,-118.16341,18150,CA,California
1158,Rose Hill,38.78872,-77.11276,20226,VA,Virginia
3002,Roseburg,43.2165,-123.34174,22114,OR,Oregon
584,Rosedale,39.32011,-76.51552,19257,MD,Maryland
2091,Rosedale,40.66205,-73.73541,25812,NY,New York
1434,Roselle,41.98475,-88.07979,22994,IL,Illinois
1883,Roselle,40.65223,-74.25882,21670,NJ,New Jersey
2711,Rosemead,34.08057,-118.07285,54908,CA,California
2712,Rosemont,38.55185,-121.36467,22681,CA,California
1763,Rosemount,44.73941,-93.12577,23413,MN,Minnesota
1059,Rosenberg,29.55718,-95.80856,35510,TX,Texas
1688,Roseville,42.49726,-82.93714,47637,MI,Michigan
1764,Roseville,45.00608,-93.15661,35580,MN,Minnesota
2713,Roseville,38.75212,-121.28801,130269,CA,California
585,Rossville,39.33844,-76.47968,15147,MD,Maryland
2092,Rossville,40.55566,-74.21348,18792,NY,New York
356,Roswell,34.02316,-84.36159,94501,GA,Georgia
2874,Roswell,33.39437,-104.52491,48544,NM,New Mexico
2093,Rotterdam,42.78702,-73.97096,20652,NY,New York
1435,Round Lake,42.35336,-88.09341,18461,IL,Illinois
1436,Round Lake Beach,42.37169,-88.09008,27852,IL,Illinois
1060,Round Rock,30.50826,-97.6789,115997,TX,Texas
2714,Rowland Heights,33.97612,-117.90534,48993,CA,California
1061,Rowlett,32.9029,-96.56388,60236,TX,Texas
3044,Roy,41.16161,-112.02633,37964,UT,Utah
1689,Royal Oak,42.48948,-83.14465,59008,MI,Michigan
247,Royal Palm Beach,26.7084,-80.2306,37633,FL,Florida
2715,Rubidoux,33.99613,-117.4056,34280,CA,California
248,Ruskin,27.72086,-82.43315,17208,FL,Florida
58,Russellville,35.27842,-93.13379,29166,AR,Arkansas
501,Ruston,32.52321,-92.63793,22340,LA,Louisiana
1884,Rutherford,40.82649,-74.10681,18690,NJ,New Jersey
2302,Rutland,43.61062,-72.97261,15824,VT,Vermont
2094,Rye,40.98065,-73.68374,16046,NY,New York
1062,Sachse,32.97623,-96.59527,24554,TX,Texas
1627,Saco,43.50092,-70.44283,19078,ME,Maine
2716,Sacramento,38.58157,-121.4944,490712,CA,California
249,Safety Harbor,27.99085,-82.69316,17454,FL,Florida
1063,Saginaw,32.86013,-97.36391,22079,TX,Texas
1690,Saginaw,43.41947,-83.95081,49347,MI,Michigan
3198,Saginaw Township North,43.46004,-84.00674,24994,MI,Michigan
2403,Sahuarita,31.95758,-110.95565,25707,AZ,Arizona
873,Saint Andrews,34.04543,-81.12926,21151,SC,South Carolina
586,Saint Charles,38.60317,-76.93858,36376,MD,Maryland
645,Saint Charles,38.78394,-90.48123,65794,MO,Missouri
1694,Saint Clair Shores,42.49698,-82.88881,59715,MI,Michigan
250,Saint Cloud,28.2489,-81.28118,35183,FL,Florida
1765,Saint Cloud,45.5608,-94.16249,65842,MN,Minnesota
2915,Saint George,37.10415,-113.58412,72897,UT,Utah
646,Saint Joseph,39.76861,-94.84663,76780,MO,Missouri
1766,Saint Louis Park,44.9483,-93.34801,45250,MN,Minnesota
472,Saint Matthews,38.25285,-85.65579,17472,KY,Kentucky
1767,Saint Michael,45.20996,-93.66496,16399,MN,Minnesota
1768,Saint Paul,44.94441,-93.09327,285068,MN,Minnesota
648,Saint Peters,38.80033,-90.62651,52575,MO,Missouri
1159,Salem,37.29347,-80.05476,25432,VA,Virginia
1590,Salem,42.51954,-70.89672,42869,MA,Massachusetts
1810,Salem,42.78842,-71.20089,29549,NH,New Hampshire
3003,Salem,44.9429,-123.0351,164549,OR,Oregon
436,Salina,38.84028,-97.61142,47813,KS,Kansas
2717,Salinas,36.67774,-121.6555,157380,CA,California
587,Salisbury,38.36067,-75.59937,32899,MD,Maryland
739,Salisbury,35.67097,-80.47423,34017,NC,North Carolina
3118,Salmon Creek,45.71067,-122.64899,19686,WA,Washington
3045,Salt Lake City,40.76078,-111.89105,192672,UT,Utah
3119,Sammamish,47.64177,-122.0804,52253,WA,Washington
2909,San Angelo,31.46377,-100.43704,100450,TX,Texas
1064,San Antonio,29.42412,-98.49363,1434625,TX,Texas
1065,San Benito,26.13258,-97.6311,24496,TX,Texas
2718,San Bernardino,34.10834,-117.28977,216108,CA,California
2719,San Bruno,37.63049,-122.41108,43185,CA,California
2720,San Carlos,37.50716,-122.26052,29931,CA,California
252,San Carlos Park,26.4673,-81.80147,16824,FL,Florida
2721,San Clemente,33.42697,-117.61199,65526,CA,California
2722,San Diego,32.71571,-117.16472,1394928,CA,California
2723,San Dimas,34.10668,-117.80673,34630,CA,California
2724,San Fernando,34.28195,-118.43897,24931,CA,California
2725,San Francisco,37.77493,-122.41942,864816,CA,California
2726,San Gabriel,34.09611,-118.10583,40424,CA,California
2727,San Jacinto,33.78391,-116.95864,46951,CA,California
2728,San Jose,37.33939,-121.89496,1026908,CA,California
1066,San Juan,26.18924,-98.15529,36556,TX,Texas
2729,San Juan Capistrano,33.50169,-117.66255,36454,CA,California
2730,San Leandro,37.72493,-122.15608,90712,CA,California
2731,San Lorenzo,37.68104,-122.12441,23452,CA,California
2404,San Luis,32.487,-114.78218,31520,AZ,Arizona
2732,San Luis Obispo,35.28275,-120.65962,47339,CA,California
1067,San Marcos,29.88327,-97.94139,60684,TX,Texas
2733,San Marcos,33.14337,-117.16614,92931,CA,California
2734,San Mateo,37.56299,-122.32553,103536,CA,California
2735,San Pablo,37.96215,-122.34553,30407,CA,California
2736,San Pedro,33.73585,-118.29229,78405,CA,California
2737,San Rafael,37.97353,-122.53109,59162,CA,California
2738,San Ramon,37.77993,-121.97802,76134,CA,California
3226,San Tan Valley,33.1911,-111.528,81321,AZ,Arizona
831,Sand Springs,36.13981,-96.10889,19783,OK,Oklahoma
3204,Sandalfoot Cove,26.33863,-80.1869,16582,FL,Florida
2207,Sandusky,41.44894,-82.70796,25212,OH,Ohio
3046,Sandy,40.59161,-111.8841,87461,UT,Utah
3047,Sandy Hills,40.58106,-111.85077,89575,UT,Utah
358,Sandy Springs,33.92427,-84.37854,105330,GA,Georgia
253,Sanford,28.80055,-81.27312,58111,FL,Florida
740,Sanford,35.47988,-79.1803,29144,NC,North Carolina
1628,Sanford,43.43925,-70.77422,20893,ME,Maine
2739,Sanger,36.70801,-119.55597,24950,CA,California
2740,Santa Ana,33.74557,-117.86783,335400,CA,California
2741,Santa Barbara,34.42083,-119.69819,91842,CA,California
2742,Santa Clara,37.35411,-121.95524,126215,CA,California
2743,Santa Clarita,34.39166,-118.54259,182371,CA,California
2744,Santa Cruz,36.97412,-122.0308,64220,CA,California
2875,Santa Fe,35.68698,-105.9378,84099,NM,New Mexico
2745,Santa Fe Springs,33.94724,-118.08535,18026,CA,California
2746,Santa Maria,34.95303,-120.43572,105093,CA,California
2747,Santa Monica,34.01949,-118.49138,93220,CA,California
2748,Santa Paula,34.35417,-119.05927,30546,CA,California
2749,Santa Rosa,38.44047,-122.71443,174972,CA,California
254,Santa Rosa Beach,30.39603,-86.22883,32459,FL,Florida
2750,Santee,32.83838,-116.97392,57787,CA,California
832,Sapulpa,35.9987,-96.11417,20579,OK,Oklahoma
255,Sarasota,27.33643,-82.53065,55118,FL,Florida
2751,Saratoga,37.26383,-122.02301,30968,CA,California
2095,Saratoga Springs,43.08313,-73.78457,27765,NY,New York
3048,Saratoga Springs,40.34912,-111.90466,25407,UT,Utah
1769,Sartell,45.62163,-94.20694,16788,MN,Minnesota
1591,Saugus,42.46482,-71.01005,26628,MA,Massachusetts
1770,Savage,44.77913,-93.33634,30391,MN,Minnesota
359,Savannah,32.08354,-81.09983,147780,GA,Georgia
1885,Sayreville,40.45927,-74.36098,44920,NJ,New Jersey
1886,Sayreville Junction,40.46538,-74.33043,42890,NJ,New Jersey
2096,Sayville,40.73593,-73.08206,16853,NY,New York
588,Scaggsville,39.14511,-76.90025,24333,MD,Maryland
2097,Scarsdale,41.0051,-73.78458,17885,NY,New York
1438,Schaumburg,42.03336,-88.08341,74693,IL,Illinois
2098,Schenectady,42.81424,-73.93957,65305,NY,New York
1504,Schererville,41.47892,-87.45476,28791,IN,Indiana
1068,Schertz,29.55217,-98.26973,43091,TX,Texas
3224,Schofield Barracks,21.49837,-158.06515,16370,HI,Hawaii
1887,Scotch Plains,40.65538,-74.38987,23584,NJ,New Jersey
2405,Scottsdale,33.50921,-111.89903,236839,AZ,Arizona
2265,Scranton,41.40916,-75.6649,77118,PA,Pennsylvania
589,Seabrook,38.96805,-76.84658,17287,MD,Maryland
2099,Seaford,40.66593,-73.48818,15294,NY,New York
1069,Seagoville,32.63958,-96.53832,15894,TX,Texas
2752,Seal Beach,33.74141,-118.10479,24619,CA,California
59,Searcy,35.25064,-91.73625,24196,AR,Arkansas
2753,Seaside,36.61107,-121.85162,33025,CA,California
3120,SeaTac,47.44846,-122.29217,28215,WA,Washington
3121,Seattle,47.60621,-122.33207,737015,WA,Washington
256,Sebastian,27.81641,-80.47061,24007,FL,Florida
1888,Secaucus,40.78955,-74.05653,19104,NJ,New Jersey
3218,Security-Widefield,38.74728,-104.71439,32882,CO,Colorado
649,Sedalia,38.70446,-93.22826,21516,MO,Missouri
1070,Seguin,29.56884,-97.96473,27864,TX,Texas
2100,Selden,40.86649,-73.03566,19851,NY,New York
33,Selma,32.40736,-87.0211,19519,AL,Alabama
2754,Selma,36.57078,-119.61208,24414,CA,California
257,Seminole,27.83975,-82.79121,18153,FL,Florida
3194,Setauket-East Setauket,40.93064,-73.10179,15477,NY,New York
874,Seven Oaks,34.04876,-81.14648,15144,SC,South Carolina
